,ori_ac,pred_ac,r
116,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
117,DAMAGED,DAMAGED,auh broken pins
118,AVOD INOP ,AVOD INOP ,icn avod inoperative
119,MOD,MOD,for modification mod 2 touchscreen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain sbplease do not demodify by any presb unless certain notice is provided from kal tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal 
120,DISTORTED DISPLAY ,DISTORTED DISPLAY ,auh display with lines
121,IFE INOP,IFE INOP,tasg seat 3k ife inoperative 
122,IFE INOP,IFE INOP,tasg seat 5a ife sometimes inoperative
123,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,cwl touch screen inoperative
124,DISPLAY INOP,DISPLAY INOP,tasg screen fault
125,DISPLAY INOP,DISPLAY INOP,unk screen fault 
126,INOP,INOP,unk inoperative 
127,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
128,INOP,INOP,unk inoperative 
129,UNCLEAR REPAIR CODING DATA,INOP,unk invalid 
130,INOP,INOP,unk inoperative 
131,INOP,INOP,inop unk inoperative 
132,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
133,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
134,INTERMITTENT DISPLAY,INTERMITTENT DISPLAY,cwl touch screen intermittent
135,INOP,INOP,unk inoperative 
136,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
137,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
138,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
139,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
140,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
141,INOP,INOP,unk inoperative 
142,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal 
143,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign case crack in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal
144,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
145,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
146,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
147,DISPLAY INOP,DISPLAY INOP,unk svdu display inoperative 
148,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
149,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
150,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
151,DAMAGED,DAMAGED,cwl scratched screen
152,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
153,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
154,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
155,MISSING BUTTON,MISSING BUTTON,auh seat 3f svdu home button missing auh 
156,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,cwl no touch screen
157,DISPLAY INOP,DISPLAY INOP,auh screen blank bent connector pins
158,MISSING BUTTON,MISSING BUTTON,auh missing button
159,AVOD INOP ,AVOD INOP ,svdu avod inop unk svdu avod inoperative 
160,NO POWER,NO POWER,no power  svdu blank   no power  svdu blank 
161,DISPLAY INOP,DISPLAY INOP,car inoperative blank screen
162,NO POWER,NO POWER,tasg uservice bulletin jack no power 
163,DISPLAY INOP,DISPLAY INOP,auh svdu blank
164,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh touch screen inoperative minor scratches
165,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,tasg seat 1d svdu touch function inoperative 
166,INOP,INOP,car inoperative
167,DISPLAY INOP,DISPLAY INOP,auh no display
168,DISPLAY INOP,DISPLAY INOP,car no video dark screen
169,DISPLAY INOP,DISPLAY INOP,unk 31d screen fault 
170,DISPLAY INOP,DISPLAY INOP,auh svdu blank
171,DISPLAY INOP,DISPLAY INOP,car no picture
172,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
173,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
174,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh touch screen inoperative
175,DISPLAY INOP,INOP,oma 30b svdu inop
176,MOD,MOD,for modification mod 2 touchscreen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain sbplease do not demodify by any presb unless certain notice is provided from kal sb requirementrev
177,DISPLAY INOP,DISPLAY INOP,auh blank on va ok on vod
178,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
179,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
180,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
181,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
182,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
183,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
184,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,car no touch function
185,AVOD INOP ,AVOD INOP ,cwl faols vid anouncement test
186,INOP,INOP,auh inoperative oma during maint chk 20j svdu found inop
187,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch function  cover cracked  scratch
188,DISPLAY INOP,DISPLAY INOP,mom svdu blank no booting svdu unserviceable
189,DISPLAY INOP,DISPLAY INOP,auh blank
190,INOP,INOPERATIVE,auh unserviceable
191,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
192,DISPLAY INOP,DISPLAY INOP,auh blank
193,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,car no touch screen
194,DISPLAY INOP,DISPLAY INOP,tasg seat 7h display blank 
195,DAMAGED,DAMAGED,auh broken pin
196,MISSING BUTTON,MISSING BUTTON,auh button missing
197,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,tasg touch function inoperative
198,MISSING BUTTON,MISSING BUTTON,auh button missing
199,DISPLAY INOP,NO POWER,mom svdu dead config fail
200,MOD,MOD,tasg for modification modification 2  touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
201,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
202,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
203,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
204,MOD,MOD,tasg for modification modification 2  touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
205,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
206,DISTORTED DISPLAY ,DISTORTED DISPLAY ,tasg seat 7h there is a line in center of display
207,INOP,INOP,unk screen broken  svdu fault 
208,DEFECTIVE BUTTON,DAMAGED,tasg seat 1k front cover separated broken found front cover broken and button faded
209,BITE FAILURE,BITE FAILURE,car tpcu bite failure inoperative
210,BITE FAILURE,BITE FAILURE,car tpcu bite failure inoperative
211,DAMAGED,INTERMITTENT DISPLAY,auh dented
212,FAILED BOOT,FAILED BOOT,mom no booting
213,DAMAGED,DAMAGED,tasg seat 1d svdu cover broken found front panel broken
214,DISPLAY INOP,DISPLAY INOP,display blank
215,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
216,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
217,DISPLAY INOP,DISPLAY INOP,unk 61f black screen 
218,SERVICE BULLETIN REQUEST,SERVICE BULLETIN REQUEST,tasg svdu video pa not showed external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
219,INOP,INOP,auh inoperative
220,NO RESPONSE,NO COMMUNICATION,auh no response
221,INOP,INOP,car inoperative
222,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch function
223,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh touch function inoperative
224,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,car touch screen inoperative
225,AVOD INOP ,AVOD INOP,tasg avod inoperative ph2 inoperative external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
226,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
227,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
228,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
229,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
230,IFE INOP,IFE INOP,cwl no ife
231,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
232,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision  foc  attrition base
233,DISPLAY INOP,DISPLAY INOP,tasg seat 7h display blank 
234,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh touch screen function intermittent minor scratches on screen
235,IFE INOP,IFE INOP,tasg seat 3c ife du inoperative not recovered  found connector pin bent and button faded 
236,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,car no touch function
237,DISPLAY INOP,DISPLAY INOP,auh monitor blank display  minor scratches on the lcd  auh 
238,DISPLAY INOP,DISPLAY INOP,cwl no picture 
239,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
240,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
241,DAMAGED,DAMAGED,auh broken pin
242,SOFTWARE DOWNLOAD FAILURE,SOFTWARE DOWNLOAD FAILURE,cwl would not load
243,DISPLAY INOP,DISPLAY INOP,cwl blank screen 
244,DISTORTED DISPLAY ,DISTORTED DISPLAY ,tasg seat 1a svdu inoperative  display has white line  there is minor scratch on lcd 
245,NO RESPONSE,NO RESPONSE,auh not responding
246,NO RESPONSE,NO RESPONSE,auh not responding
247,IFE INOP,IFE INOP,cwl no ife
248,IFE INOP,IFE INOP,cwl no ife
249,INOP,INOP,unk svdu fault 
250,INTERMITTENT DISPLAY,INTERMITTENT DISPLAY,auh intermittent
251,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,cwl svdu 6e touch screen inoperative
252,BFS,BFS,auh fail on fit
253,MAINTENANCE,SERVICE BULLETIN REQUEST,cwl please inspect and test
254,DISPLAY INOP,INOP,unk svdu can not work 
255,IFE INOP,IFE INOP,tasg seat 3d ife not stable sometimes freeze  found button faded  there is minor scratch on lcd 
256,DISPLAY INOP,DISPLAY INOP,cwl screen frozen
257,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,auh no touch control
258,MISSING BUTTON,MISSING BUTTON,unk missing button 
259,DEFECTIVE TOUCH SCREEN,DEFECTIVE TOUCH SCREEN,cwl screen inoperative bent pins
260,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal service bulletin requirement revision foc attrition base
261,MOD,MOD,tasg for modification 2  external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
262,MOD,MOD,tasg for modification 2 touch screen campaign external normal  in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
263,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
264,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
265,MOD,MOD,tasg for modification modification 2 touch screen replacement campaign external normal in case that the unit is required to be modified and or improved by a certain service bulletin please do not demodify by any preservice bulletin unless certain notice is provided from kal  service bulletin requirement revision foc attrition base
